[09:55:14] INFO - Querying NCBI for 5 sequences.
[09:55:15] INFO - Starting cblaster in remote mode
[09:55:15] INFO - Launching new search
[09:55:16] INFO - Request Identifier (RID): KP3S3ZJ1013
[09:55:16] INFO - Request Time Of Execution (RTOE): 22s
[09:55:38] INFO - Polling NCBI for completion status
[09:55:38] INFO - Checking search status...
[09:56:38] INFO - Checking search status...
[09:57:38] INFO - Checking search status...
[09:58:38] INFO - Checking search status...
[09:59:38] INFO - Checking search status...
[10:00:38] INFO - Checking search status...
[10:01:38] INFO - Checking search status...
[10:02:38] INFO - Checking search status...
[10:03:38] INFO - Checking search status...
[10:04:38] INFO - Checking search status...
[10:05:38] INFO - Checking search status...
[10:06:38] INFO - Checking search status...
[10:06:38] INFO - Search has completed successfully!
[10:06:38] INFO - Retrieving results for search KP3S3ZJ1013
[10:06:40] INFO - Writing BLAST hit table to /repo/cagecat/jobs/W549T637B512E36/results/W549T637B512E36_blasthits.txt
[10:06:40] INFO - Parsing results...
[10:06:40] INFO - Found 2179 hits meeting score thresholds for remote search
[10:06:40] INFO - Fetching genomic context of hits
[10:07:38] INFO - Writing IPG table to /repo/cagecat/jobs/W549T637B512E36/results/W549T637B512E36_ipg.txt
[10:07:38] INFO - Searching for clustered hits across 1673 organisms
[10:07:38] INFO - Searching for intermediate genes
[10:07:39] INFO - Fetching intermediate genes from NCBI from NZ_ARWD01000001.1
[10:07:40] INFO - Fetching intermediate genes from NCBI from NZ_JAEHSV010000003.1
[10:07:41] INFO - Fetching intermediate genes from NCBI from NZ_CP012097.1
[10:07:43] INFO - Fetching intermediate genes from NCBI from NZ_CP042363.1
[10:07:44] INFO - Fetching intermediate genes from NCBI from NZ_AMSV01000061.1
[10:07:44] INFO - Fetching intermediate genes from NCBI from NZ_JAAQRN010000005.1
[10:07:45] INFO - Fetching intermediate genes from NCBI from NZ_CAMISH010000005.1
[10:07:46] INFO - Fetching intermediate genes from NCBI from NZ_LTDN01000029.1
[10:07:47] INFO - Fetching intermediate genes from NCBI from NC_021659.1
[10:07:48] INFO - Fetching intermediate genes from NCBI from HE995400.1
[10:07:48] INFO - Fetching intermediate genes from NCBI from JAEHSV010000003.1
[10:07:50] INFO - Fetching intermediate genes from NCBI from CP012097.1
[10:07:52] INFO - Fetching intermediate genes from NCBI from CP042363.1
[10:07:53] INFO - Fetching intermediate genes from NCBI from AMSV01000061.1
[10:07:53] INFO - Fetching intermediate genes from NCBI from NZ_CP012096.1
[10:07:54] INFO - Fetching intermediate genes from NCBI from JAAQRN010000005.1
[10:07:55] INFO - Fetching intermediate genes from NCBI from CAMISH010000005.1
[10:07:56] INFO - Fetching intermediate genes from NCBI from LTDN01000029.1
[10:07:58] INFO - Fetching intermediate genes from NCBI from CP068096.1
[10:07:59] INFO - Fetching intermediate genes from NCBI from CP006566.1
[10:08:00] INFO - Fetching intermediate genes from NCBI from NZ_CP007439.1
[10:08:01] INFO - Fetching intermediate genes from NCBI from RCUM01000099.1
[10:08:02] INFO - Fetching intermediate genes from NCBI from NZ_JALKTJ010000003.1
[10:08:03] INFO - Fetching intermediate genes from NCBI from CP007439.1
[10:08:04] INFO - Fetching intermediate genes from NCBI from AP035790.1
[10:08:05] INFO - Fetching intermediate genes from NCBI from NZ_CP065699.1
[10:08:06] INFO - Fetching intermediate genes from NCBI from NZ_JADCNO010000033.1
[10:08:07] INFO - Fetching intermediate genes from NCBI from NZ_CP068096.1
[10:08:07] INFO - Fetching intermediate genes from NCBI from NZ_MQML01000234.1
[10:08:08] INFO - Fetching intermediate genes from NCBI from DAXZUB010000004.1
[10:08:10] INFO - Fetching intermediate genes from NCBI from JALKTJ010000003.1
[10:08:10] INFO - Fetching intermediate genes from NCBI from NZ_CAMKNT010000006.1
[10:08:11] INFO - Fetching intermediate genes from NCBI from NZ_LRQU01000001.1
[10:08:12] INFO - Fetching intermediate genes from NCBI from CP065673.1
[10:08:13] INFO - Fetching intermediate genes from NCBI from CAMKNT010000006.1
[10:08:14] INFO - Fetching intermediate genes from NCBI from CP065747.1
[10:08:15] INFO - Fetching intermediate genes from NCBI from LRQU01000001.1
[10:08:16] INFO - Fetching intermediate genes from NCBI from NZ_CP065747.1
[10:08:18] INFO - Fetching intermediate genes from NCBI from NZ_CP065673.1
[10:08:19] INFO - Fetching intermediate genes from NCBI from NC_017573.1
[10:08:20] INFO - Fetching intermediate genes from NCBI from NC_015567.1
[10:08:21] INFO - Fetching intermediate genes from NCBI from NC_015566.1
[10:08:22] INFO - Fetching intermediate genes from NCBI from ABHOKZ010000006.1
[10:08:23] INFO - Fetching intermediate genes from NCBI from NZ_CP093323.1
[10:08:24] INFO - Fetching intermediate genes from NCBI from NZ_JAEHKA010000024.1
[10:08:25] INFO - Fetching intermediate genes from NCBI from CP002775.1
[10:08:26] INFO - Fetching intermediate genes from NCBI from CP002773.1
[10:08:27] INFO - Fetching intermediate genes from NCBI from CP002774.1
[10:08:28] INFO - Fetching intermediate genes from NCBI from NZ_RBLL01000001.1
[10:08:28] INFO - Fetching intermediate genes from NCBI from NZ_BCTU01000019.1
[10:08:29] INFO - Fetching intermediate genes from NCBI from NZ_CAMITG010000001.1
[10:08:30] INFO - Fetching intermediate genes from NCBI from RBLL01000001.1
[10:08:31] INFO - Fetching intermediate genes from NCBI from NZ_CP065688.1
[10:08:32] INFO - Fetching intermediate genes from NCBI from NZ_CP053398.1
[10:08:33] INFO - Fetching intermediate genes from NCBI from NZ_CP100764.1
[10:08:34] INFO - Fetching intermediate genes from NCBI from LS483469.1
[10:08:35] INFO - Fetching intermediate genes from NCBI from NZ_JAMGSK010000005.1
[10:08:36] INFO - Fetching intermediate genes from NCBI from NZ_JAILTT010000006.1
[10:08:37] INFO - Fetching intermediate genes from NCBI from NZ_JAILTX010000014.1
[10:08:37] INFO - Fetching intermediate genes from NCBI from NZ_JAILSL010000001.1
[10:08:38] INFO - Fetching intermediate genes from NCBI from NZ_JAILSN010000018.1
[10:08:39] INFO - Fetching intermediate genes from NCBI from NZ_CAWLWA010000207.1
[10:08:40] INFO - Fetching intermediate genes from NCBI from NZ_JAILTW010000005.1
[10:08:41] INFO - Fetching intermediate genes from NCBI from NZ_JAILTS010000010.1
[10:08:41] INFO - Fetching intermediate genes from NCBI from NZ_JAKMXG010000007.1
[10:08:42] INFO - Fetching intermediate genes from NCBI from NZ_CAWQUX010000007.1
[10:08:43] INFO - Fetching intermediate genes from NCBI from NZ_CAWLUU010000175.1
[10:08:44] INFO - Fetching intermediate genes from NCBI from NZ_CAWLWN010000254.1
[10:08:44] INFO - Fetching intermediate genes from NCBI from NZ_JAQRFO010000033.1
[10:08:45] INFO - Fetching intermediate genes from NCBI from NZ_JAILTO010000008.1
[10:08:47] INFO - Fetching intermediate genes from NCBI from NZ_JAILTY010000018.1
[10:08:48] INFO - Fetching intermediate genes from NCBI from NZ_JAILTF010000020.1
[10:08:49] INFO - Fetching intermediate genes from NCBI from NZ_JAILTE010000019.1
[10:08:49] INFO - Fetching intermediate genes from NCBI from NZ_JAILSM010000004.1
[10:08:50] INFO - Fetching intermediate genes from NCBI from NZ_JAKMXI010000009.1
[10:08:51] INFO - Fetching intermediate genes from NCBI from NZ_CAWQRA010000009.1
[10:08:51] INFO - Fetching intermediate genes from NCBI from NZ_CAWLWD010000154.1
[10:08:52] INFO - Fetching intermediate genes from NCBI from NZ_JAILTD010000001.1
[10:08:53] INFO - Fetching intermediate genes from NCBI from NZ_JAILTN010000017.1
[10:08:54] INFO - Fetching intermediate genes from NCBI from NZ_CAWLWO010000131.1
[10:08:57] INFO - Fetching intermediate genes from NCBI from NC_013892.1
[10:08:58] INFO - Fetching intermediate genes from NCBI from NZ_CAWLZI010000016.1
[10:08:59] INFO - Fetching intermediate genes from NCBI from NZ_JAILSR010000001.1
[10:09:00] INFO - Fetching intermediate genes from NCBI from NZ_JAILXI010000001.1
[10:09:01] INFO - Fetching intermediate genes from NCBI from NZ_JAILSQ010000001.1
[10:09:02] INFO - Fetching intermediate genes from NCBI from NZ_JAILTQ010000001.1
[10:09:02] INFO - Fetching intermediate genes from NCBI from NZ_CAWLXJ010000110.1
[10:09:03] INFO - Fetching intermediate genes from NCBI from NZ_CAWLXC010000169.1
[10:09:04] INFO - Fetching intermediate genes from NCBI from NZ_FO818637.1
[10:09:05] INFO - Fetching intermediate genes from NCBI from NZ_CAWMEF010000001.1
[10:09:06] INFO - Fetching intermediate genes from NCBI from NZ_JAILTI010000006.1
[10:09:07] INFO - Fetching intermediate genes from NCBI from NZ_JAILSV010000009.1
[10:09:08] INFO - Fetching intermediate genes from NCBI from NZ_JAILTK010000001.1
[10:09:09] INFO - Fetching intermediate genes from NCBI from NZ_JAILTG010000001.1
[10:09:09] INFO - Fetching intermediate genes from NCBI from NZ_JAILTC010000001.1
[10:09:10] INFO - Fetching intermediate genes from NCBI from NZ_JANAIF010000010.1
[10:09:11] INFO - Fetching intermediate genes from NCBI from NZ_JAILST010000001.1
[10:09:12] INFO - Fetching intermediate genes from NCBI from NZ_JAILTR010000002.1
[10:09:13] INFO - Fetching intermediate genes from NCBI from NZ_JAILSW010000002.1
[10:09:14] INFO - Fetching intermediate genes from NCBI from NZ_JAILTU010000006.1
[10:09:14] INFO - Writing current search session to /repo/cagecat/jobs/W549T637B512E36/results/W549T637B512E36_session.json
[10:09:14] INFO - Writing binary summary table to /repo/cagecat/jobs/W549T637B512E36/results/W549T637B512E36_binary.txt
[10:09:14] INFO - Writing summary to /repo/cagecat/jobs/W549T637B512E36/results/W549T637B512E36_summary.txt
[10:09:14] INFO - Saving cblaster plot HTML to: /repo/cagecat/jobs/W549T637B512E36/results/W549T637B512E36_plot.html
[10:09:15] INFO - Done.
