Descriptive statistics of the cblaster summary file:
Amount of species: 70
Serratia plymuthica: 28 strains
Salmonella enterica: 2 strains
Serratia sp.: 3 strains
Photorhabdus khanii: 5 strains
Photorhabdus stackebrandtii: 2 strains
Photorhabdus tasmaniensis: 2 strains
Photorhabdus temperata: 6 strains
Photorhabdus thracensis: 3 strains
Photorhabdus sp.: 4 strains
Photorhabdus antumapuensis: 2 strains
Xenorhabdus bovienii: 58 strains
Serratia microhaemolytica: 1 strains
Xenorhabdus aichiensis: 1 strains
Dickeya zeae: 2 strains
Dickeya oryzae: 1 strains
Dickeya solani: 48 strains
Dickeya sp.: 3 strains
Dickeya fangzhongdai: 20 strains
Dickeya dadantii: 3 strains
Xenorhabdus littoralis: 3 strains
Xenorhabdus sp.: 15 strains
Xenorhabdus cabanillasii: 2 strains
Xenorhabdus indica: 3 strains
Xenorhabdus hominickii: 3 strains
Xenorhabdus budapestensis: 3 strains
Xenorhabdus stockiae: 2 strains
Xenorhabdus innexi: 3 strains
Xenorhabdus szentirmaii: 4 strains
Chitinivorax sp.: 1 strains
Celerinatantimonas neptuna: 1 strains
Chitinivorax tropicus: 1 strains
Aquabacterium sp.: 2 strains
Paludibacterium paludis: 2 strains
Chromobacterium haemolyticum: 15 strains
Chromobacterium sp.: 8 strains
Chromobacterium fluminis: 1 strains
Chromobacterium aquaticum: 2 strains
Chromobacterium rhizoryzae: 2 strains
Chromobacterium alkanivorans: 4 strains
Photorhabdus asymbiotica: 3 strains
Photorhabdus cinerea: 2 strains
Photorhabdus australis: 3 strains
Halioxenophilus aromaticivorans: 2 strains
Bowmanella denitrificans: 2 strains
Xenorhabdus lircayensis: 2 strains
Enterobacteriaceae bacterium: 1 strains
Paraglaciecola sp.: 1 strains
Pseudoalteromonas aurantia: 3 strains
Agrobacterium sp.: 11 strains
Agrobacterium tumefaciens: 5 strains
Rhizobium sp.: 5 strains
Agrobacterium leguminum: 2 strains
Agrobacterium salinitolerans: 7 strains
Agrobacterium radiobacter: 2 strains
Agrobacterium deltaense: 1 strains
Hyphomicrobiales bacterium: 1 strains
Agrobacterium tomkonis: 4 strains
Rhizobium rhizogenes: 6 strains
Agrobacterium cucumeris: 1 strains
Pseudoalteromonas sp.: 4 strains
Nostoc sp.: 4 strains
Komarekiella atlantica: 1 strains
Janthinobacterium fluminis: 1 strains
Massilia sp.: 1 strains
Desulfobacteraceae bacterium: 1 strains
Calothrix sp.: 1 strains
Komarekiella delphini: 1 strains
Roholtiella sp.: 1 strains
Pseudoalteromonas caenipelagi: 1 strains
Tolypothrix carrinoi: 1 strains
