Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_022689255.1_ASM2268925v1_genomic.fna	99.21	95.10	94.72	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JALCXT010000010.1 Staphylococcus lugdunensis strain acrnt NODE_10_length_94495_cov_52.116238_pilon, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_022569205.1_ASM2256920v1_genomic.fna	99.21	93.82	97.21	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JAKRKQ010000001.1 Staphylococcus lugdunensis strain D2-16 SHJJP890701, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_022569085.1_ASM2256908v1_genomic.fna	99.21	94.81	94.07	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JAKRKL010000001.1 Staphylococcus lugdunensis strain D3-12 SHJJP891301, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_020882195.1_ASM2088219v1_genomic.fna	99.26	94.11	87.82	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_CP048008.1 Staphylococcus lugdunensis strain CGMH-SL118 chromosome, complete genome
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_009931395.1_ASM993139v1_genomic.fna	99.65	95.54	97.60	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_CP038807.1 Staphylococcus lugdunensis strain APC 3758 chromosome, complete genome
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_008728715.1_ASM872871v1_genomic.fna	99.26	94.90	93.65	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_CP041723.1 Staphylococcus lugdunensis strain SL29 chromosome, complete genome
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_900474705.1_41236_B02_genomic.fna	99.17	93.69	96.55	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_LS483312.1 Staphylococcus lugdunensis strain NCTC7990 chromosome 1, complete sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_002097035.1_ASM209703v1_genomic.fna	99.21	94.27	96.27	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_CP020764.1 Staphylococcus lugdunensis strain VISLISI_22 chromosome
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_026427475.1_ASM2642747v1_genomic.fna	99.65	95.49	96.67	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_CP084437.1 Staphylococcus lugdunensis strain RMLUG3 chromosome, complete genome
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_002073395.2_ASM207339v2_genomic.fna	99.26	94.16	97.31	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_CP020406.2 Staphylococcus lugdunensis strain FDAARGOS_222 chromosome, complete genome
