Organism                                                      Scaffold              Start    End      Score  LLS_Dehydrogenase  LLS_E1-like  LLS_LlsA  LLS_YcaO
Listeria monocytogenes serotype 4b str. F2365 4b F2365        NC_002973.6           1126696  1132008  5.22   1                  1            1         1       
Listeria monocytogenes serotype 4b str. F2365 4b F2365        AE017262.2            1128901  1132008  4.21   1                  1            0         1       
Listeria monocytogenes SLCC2378                               NC_018585.1           1127227  1132539  5.22   1                  1            1         1       
Listeria monocytogenes SLCC2378                               FR733644.1            1129432  1132539  4.21   1                  1            0         1       
Listeria monocytogenes SLCC2755                               NC_018587.1           1128806  1134118  5.22   1                  1            1         1       
Listeria monocytogenes SLCC2755                               FR733646.1            1131011  1134118  4.21   1                  1            0         1       
Listeria monocytogenes J1-108                                 NC_021825.2           1515399  1520712  5.22   1                  1            1         1       
Listeria monocytogenes N1-011A                                NC_021826.1           3090241  3094247  4.13   1                  1            1         0       
Listeria monocytogenes FSL N1-017                             NZ_AARP04000005.1     11388    16700    5.22   1                  1            1         1       
Listeria monocytogenes FSL N1-017                             AARP04000005.1        13593    16700    4.21   1                  1            0         1       
Listeria monocytogenes SHL002                                 NZ_APIC01000003.1     116905   122226   5.22   1                  1            1         1       
Listeria monocytogenes SHL002                                 APIC01000003.1        116905   120021   4.21   1                  1            0         1       
Listeria monocytogenes SHL008                                 NZ_APIH01000001.1     623523   628835   5.22   1                  1            1         1       
Listeria monocytogenes SHL008                                 APIH01000001.1        625728   628835   4.21   1                  1            0         1       
Listeria monocytogenes WSLC1042                               NZ_CP007210.1         535493   540805   5.22   1                  1            1         1       
Listeria monocytogenes WSLC1042                               CP007210.1            537698   540805   4.21   1                  1            0         1       
Listeria monocytogenes NE                                     NZ_CP007492.1         1126692  1132004  5.22   1                  1            1         1       
Listeria monocytogenes NTSN                                   NZ_CP009897.1         1126045  1131357  5.22   1                  1            1         1       
Listeria monocytogenes NTSN                                   CP009897.1            1128250  1131357  4.21   1                  1            0         1       
Listeria monocytogenes CFSAN023463                            NZ_CP012021.2         1164733  1170045  5.22   1                  1            1         1       
Listeria monocytogenes WSLC 1018                              NZ_CP013285.1         2063764  2069076  5.22   1                  1            1         1       
Listeria monocytogenes WSLC 1018                              CP013285.1            2065969  2069076  4.21   1                  1            0         1       
Listeria monocytogenes FORC_049                               NZ_CP016629.1         1162784  1168095  5.22   1                  1            1         1       
Listeria monocytogenes FORC_049                               CP016629.1            1164988  1168095  4.21   1                  1            0         1       
Listeria monocytogenes 10-092876-1063 LM3                     NZ_CP019616.1         1148950  1154262  5.22   1                  1            1         1       
Listeria monocytogenes H34                                    NZ_CP020774.1         1127035  1132347  5.22   1                  1            1         1       
Listeria monocytogenes H34                                    CP020774.1            1129240  1132347  4.21   1                  1            0         1       
Listeria monocytogenes FDAARGOS_57                            NZ_CP030101.1         2683910  2689205  3.16   1                  0            1         1       
Listeria monocytogenes 18                                     NZ_CP030804.1         1034076  1039387  5.22   1                  1            1         1       
Listeria monocytogenes 13                                     NZ_CP030809.1         1059326  1064638  5.22   1                  1            1         1       
Listeria monocytogenes 11                                     NZ_CP030810.1         890533   895845   5.22   1                  1            1         1       
Listeria monocytogenes 12                                     NZ_CP030834.1         1094604  1099916  5.22   1                  1            1         1       
Listeria monocytogenes NCCP 14714                             NZ_CP031141.1         1162775  1168086  5.22   1                  1            1         1       
Listeria monocytogenes NCCP 14714                             CP031141.1            1164979  1168086  4.21   1                  1            0         1       
Listeria monocytogenes CIIMS-NV-3                             NZ_CP031674.1         872906   878218   5.22   1                  1            1         1       
Listeria monocytogenes LMJF5203                               NZ_CP033612.1         1120352  1125664  5.22   1                  1            1         1       
Listeria monocytogenes Li 2108                                NZ_CP039751.1         1733569  1738881  5.22   1                  1            1         1       
Listeria monocytogenes FDAARGOS_607                           NZ_CP041014.1         226322   231634   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN023469                            NZ_CP045745.1         631338   636650   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN023468                            NZ_CP045746.1         587198   592510   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN023468                            LHSE01000001.1        587875   590982   4.21   1                  1            0         1       
Listeria monocytogenes CFSAN023465                            NZ_CP045747.1         631335   636647   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN023465                            NZ_LHSF01000001.1     587875   593187   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN023465                            LHSF01000001.1        587875   590982   4.21   1                  1            0         1       
Listeria monocytogenes CFSAN023464                            NZ_CP045748.1         586936   592248   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN002349                            NZ_CP045751.1         592914   598226   5.22   1                  1            1         1       
Listeria monocytogenes CFSAN002349                            LHRX02000001.1        587881   590988   4.21   1                  1            0         1       
Listeria monocytogenes S12                                    NZ_CP050023.1         1759017  1764329  5.22   1                  1            1         1       
Listeria monocytogenes 2017-TE-6913-1                         NZ_CP053357.1         629156   634468   5.22   1                  1            1         1       
Listeria monocytogenes FSL R9-0915                            NZ_CP062124.1         1162897  1168209  5.22   1                  1            1         1       
Listeria monocytogenes LM18                                   NZ_CP067362.1         371867   377178   5.22   1                  1            1         1       
Listeria monocytogenes LM18                                   CP067362.1            371867   374974   4.21   1                  1            0         1       
Listeria monocytogenes LM39                                   NZ_CP068600.1         1121482  1126794  5.22   1                  1            1         1       
Listeria monocytogenes LM39                                   CP068600.1            1123687  1126794  4.21   1                  1            0         1       
Listeria monocytogenes LM43                                   NZ_CP068601.1         1819103  1824415  5.22   1                  1            1         1       
Listeria monocytogenes LM43                                   CP068601.1            1819103  1822210  4.21   1                  1            0         1       
Listeria monocytogenes LR8                                    NZ_CP071154.1         1199250  1204562  5.22   1                  1            1         1       
Listeria monocytogenes LM25                                   NZ_CP076127.1         1775310  1780622  5.22   1                  1            1         1       
Listeria monocytogenes LM25                                   CP076127.1            1775310  1778417  4.21   1                  1            0         1       
Listeria monocytogenes s2020TJ                                NZ_CP087264.1         623324   628636   5.22   1                  1            1         1       
Listeria monocytogenes GTA-L258                               NZ_CP092060.1         1164416  1169728  5.22   1                  1            1         1       
Listeria monocytogenes FSL J1-0049                            NZ_CP096159.1         622564   627876   5.22   1                  1            1         1       
Listeria monocytogenes FSCNU_000110                           NZ_CP101619.1         1162782  1168093  5.22   1                  1            1         1       
Listeria monocytogenes 21-03201                               NZ_CP111149.1         1126692  1132004  5.22   1                  1            1         1       
Listeria monocytogenes 19-07394                               NZ_CP113891.1         1167996  1173308  5.22   1                  1            1         1       
Listeria monocytogenes LM11                                   NZ_CP114207.1         1125212  1130524  5.22   1                  1            1         1       
Listeria monocytogenes LM11                                   NZ_NPAU01000001.1     616767   622079   5.22   1                  1            1         1       
Listeria monocytogenes LM11                                   CP114207.1            1127417  1130524  4.21   1                  1            0         1       
Listeria monocytogenes LM22                                   NZ_CP114253.1         1121513  1126825  5.22   1                  1            1         1       
Listeria monocytogenes LM22                                   NZ_JAUJXR010000006.1  593991   599303   5.22   1                  1            1         1       
Listeria monocytogenes LM40                                   NZ_CP114255.1         1775265  1780577  5.22   1                  1            1         1       
Listeria monocytogenes LM40                                   CP114255.1            1775265  1778372  4.21   1                  1            0         1       
Listeria monocytogenes MKELm6_2022                            NZ_CP115042.1         470080   475392   5.22   1                  1            1         1       
Listeria monocytogenes B-33116                                NZ_CP117973.1         367097   372409   5.22   1                  1            1         1       
Listeria monocytogenes                                        NZ_CWLC01000029.1     50059    55371    5.22   1                  1            1         1       
Listeria monocytogenes                                        NZ_CWLM01000073.1     631      5943     5.22   1                  1            1         1       
Listeria monocytogenes                                        NZ_FJMR01000020.1     22083    27395    5.22   1                  1            1         1       
Listeria monocytogenes                                        NZ_FJMU01000011.1     22075    27386    3.16   1                  0            1         1       
Listeria monocytogenes                                        NZ_FUIS01000014.1     595527   600839   5.22   1                  1            1         1       
Listeria monocytogenes                                        NZ_FUJG01000019.1     591924   597236   5.22   1                  1            1         1       
Listeria monocytogenes                                        NZ_FUJU01000013.1     616767   622079   5.22   1                  1            1         1       
Listeria monocytogenes                                        AAARKM010000002.1     454      5766     5.22   1                  1            1         1       
Listeria monocytogenes                                        AAARNH010000005.1     116391   121703   5.22   1                  1            1         1       
Listeria monocytogenes                                        AAAROZ010000002.1     450225   455537   5.22   1                  1            1         1       
Listeria monocytogenes                                        AAASFA010000005.1     18419    23725    5.21   1                  1            1         1       
Listeria monocytogenes                                        AAASGT010000031.1     2198     7510     5.22   1                  1            1         1       
Listeria monocytogenes                                        AAAXJO010000002.1     330179   335491   5.22   1                  1            1         1       
Listeria monocytogenes                                        ABADKD010000001.1     593906   599218   5.22   1                  1            1         1       
Listeria monocytogenes                                        ABFKSS010000046.1     37       3587     4.10   1                  1            1         0       
Listeria monocytogenes                                        ABFKTF010000038.1     391      3498     4.21   1                  1            0         1       
Listeria monocytogenes                                        ABFKWI010000001.1     384      4390     4.13   1                  1            1         0       
Listeria monocytogenes                                        ABFKWC010000076.1     60       4066     4.13   1                  1            1         0       
Listeria monocytogenes                                        DAABTL010000004.1     18420    23732    5.22   1                  1            1         1       
Listeria monocytogenes                                        DAABTM010000011.1     22564    27876    5.22   1                  1            1         1       
Listeria monocytogenes                                        DAACFO010000001.1     614767   620079   3.16   1                  0            1         1       
Listeria monocytogenes                                        DAACKO010000001.1     116377   121689   5.22   1                  1            1         1       
Listeria monocytogenes                                        DAACMB010000001.1     469340   474652   5.22   1                  1            1         1       
Listeria monocytogenes                                        DAACQQ010000012.1     24510    29821    5.22   1                  1            1         1       
Listeria monocytogenes                                        DAACQS010000001.1     452      5763     5.22   1                  1            1         1       
Listeria monocytogenes                                        DAACQU010000001.1     114710   120022   5.22   1                  1            1         1       
Listeria monocytogenes                                        DAADGE010000001.1     18419    23731    5.22   1                  1            1         1       
Listeria monocytogenes                                        DAADMR010000012.1     22564    27876    5.22   1                  1            1         1       
Listeria monocytogenes                                        DAAEQY010000033.1     30       4926     5.19   1                  1            1         1       
Listeria monocytogenes                                        DAAFCQ010000078.1     24       5336     5.22   1                  1            1         1       
Listeria monocytogenes                                        DAAKQV010000001.1     758821   761928   4.21   1                  1            0         1       
