Organism,Scaffold,Start,End,Score,WP_338009895.1,WP_006328028.1,WP_020439796.1,WP_006328024.1,WP_006328022.1
Serratia plymuthica A30,NZ_AMSV01000061.1,78936,95120,10.10,1,1,1,1,1,
Serratia plymuthica A30,AMSV01000061.1,78936,95087,10.10,1,1,1,1,1,
Serratia plymuthica RVH1,NZ_ARWD01000001.1,4691658,4707842,10.10,1,1,1,1,1,
Serratia plymuthica RVH1,HE995400.1,8447,24598,10.10,1,1,1,1,1,
Serratia plymuthica 3Re4-18,NZ_CP012097.1,4707451,4723635,10.10,1,1,1,1,1,
Serratia plymuthica 3Re4-18,CP012097.1,4707451,4723602,10.10,1,1,1,1,1,
Serratia plymuthica,NZ_CAMISH010000005.1,70433,86617,10.10,1,1,1,1,1,
Serratia plymuthica,CAMISH010000005.1,70433,86584,10.10,1,1,1,1,1,
Serratia plymuthica,NZ_CAMKNT010000006.1,41228,57427,10.09,1,1,1,1,1,
Serratia plymuthica,NZ_CAMITG010000001.1,647049,663214,10.07,1,1,1,1,1,
Serratia plymuthica,CAMKNT010000006.1,41228,57394,10.09,1,1,1,1,1,
Serratia plymuthica A294,NZ_CP042363.1,4707648,4723832,10.10,1,1,1,1,1,
Serratia plymuthica A294,CP042363.1,4707648,4723799,10.10,1,1,1,1,1,
Serratia plymuthica IV-11-34,NZ_JAAQRN010000005.1,45789,61973,10.10,1,1,1,1,1,
Serratia plymuthica IV-11-34,JAAQRN010000005.1,45789,61940,10.10,1,1,1,1,1,
Serratia plymuthica SER00253,NZ_JAEHSV010000003.1,225477,241661,10.10,1,1,1,1,1,
Serratia plymuthica SER00253,JAEHSV010000003.1,225477,241628,10.10,1,1,1,1,1,
Serratia plymuthica HRO-C48,NZ_LTDN01000029.1,39477,55661,10.10,1,1,1,1,1,
Serratia plymuthica HRO-C48,LTDN01000029.1,39477,55628,10.10,1,1,1,1,1,
Serratia plymuthica V4,NZ_CP007439.1,4754079,4770278,10.10,1,1,1,1,1,
Serratia plymuthica V4,CP007439.1,4754079,4770245,10.10,1,1,1,1,1,
Serratia plymuthica SWSY-3.47,AP035790.1,4792414,4808613,10.10,1,1,1,1,1,
Serratia plymuthica 3Rp8,NZ_CP012096.1,3111477,3127628,10.10,1,1,1,1,1,
Serratia plymuthica FDAARGOS_1138,CP068096.1,2494330,2510481,10.10,1,1,1,1,1,
Serratia plymuthica FDAARGOS_1138,NZ_CP068096.1,2494390,2510481,10.09,1,1,1,1,1,
Serratia plymuthica FDAARGOS_889,NZ_CP065699.1,4636162,4652328,10.10,1,1,1,1,1,
Serratia plymuthica MGG-11wh,NZ_JALKTJ010000003.1,351044,367210,10.10,1,1,1,1,1,
Serratia plymuthica MGG-11wh,JALKTJ010000003.1,351104,367210,10.09,1,1,1,1,1,
Serratia plymuthica MBSA-MJ1,NZ_JADCNO010000033.1,1349,17515,10.10,1,1,1,1,1,
Serratia plymuthica WS3236,NZ_RBLL01000001.1,1355055,1371253,10.07,1,1,1,1,1,
Serratia plymuthica WS3236,RBLL01000001.1,1355055,1371220,10.07,1,1,1,1,1,
Serratia plymuthica tumat,NZ_MQML01000234.1,1220,17371,10.09,1,1,1,1,1,
Serratia plymuthica A153,NZ_LRQU01000001.1,1376638,1392837,10.09,1,1,1,1,1,
Serratia plymuthica A153,LRQU01000001.1,1376638,1392804,10.09,1,1,1,1,1,
Serratia plymuthica NBRC 102599,NZ_BCTU01000019.1,8695,24860,10.07,1,1,1,1,1,
Serratia plymuthica FDAARGOS_895,NZ_CP065688.1,2554738,2570903,10.07,1,1,1,1,1,
Serratia plymuthica FDAARGOS_895,CP065688.1,2554738,2570903,6.80,1,0,1,1,1,
Serratia plymuthica FDAARGOS_907,CP065673.1,3437854,3454020,10.09,1,1,1,1,1,
Serratia plymuthica FDAARGOS_907,NZ_CP065673.1,3437914,3454020,10.08,1,1,1,1,1,
Serratia plymuthica FDAARGOS_896,CP065747.1,845974,862140,10.09,1,1,1,1,1,
Serratia plymuthica FDAARGOS_896,NZ_CP065747.1,846034,862140,10.08,1,1,1,1,1,
Serratia plymuthica AS9,NC_015567.1,4598020,4614216,10.08,1,1,1,1,1,
Serratia plymuthica AS9,CP002773.1,4598020,4614183,10.08,1,1,1,1,1,
Serratia plymuthica B37/06,NZ_CP093323.1,821083,837189,10.08,1,1,1,1,1,
Serratia plymuthica C-1,NZ_CP053398.1,611500,627179,9.99,1,1,1,1,1,
Serratia plymuthica SASK2000,NZ_CP100764.1,4598031,4612226,9.95,1,1,1,1,1,
Serratia plymuthica NCTC12961,LS483469.1,4499071,4512130,9.78,1,1,1,1,1,
Serratia plymuthica S13,NC_021659.1,4621344,4637528,10.10,1,1,1,1,1,
Serratia plymuthica S13,CP006566.1,4621344,4637495,10.10,1,1,1,1,1,
